Year,StockID,Escape
1979,Stock1,78389
1980,Stock1,52276
1981,Stock1,104503
1982,Stock1,114954
1983,Stock1,31436
1984,Stock1,123594
1985,Stock1,177678
1986,Stock1,168526
1987,Stock1,97648
1988,Stock1,50582
1989,Stock1,79761
1990,Stock1,181433
1991,Stock1,101871
1992,Stock1,171302
1993,Stock1,141280
1994,Stock1,108363
1995,Stock1,60924
1996,Stock1,63183
1997,Stock1,155433
1998,Stock1,283664
1999,Stock1,183315
2000,Stock1,150961
2001,Stock1,182390
2002,Stock1,148039
2003,Stock1,304180
2004,Stock1,198236
2005,Stock1,124007
2006,Stock1,109503
2007,Stock1,103308
2008,Stock1,83966
2009,Stock1,85969
2010,Stock1,185083
2011,Stock1,177220
2012,Stock1,65027
2013,Stock1,95967
2014,Stock1,105486
2015,Stock1,137376
2016,Stock1,81641
1979,Stock2,3506
1980,Stock2,7529
1981,Stock2,3773
1982,Stock2,6651
1983,Stock2,3284
1984,Stock2,8215
1985,Stock2,12075
1986,Stock2,13770
1987,Stock2,7093
1988,Stock2,6501
1989,Stock2,9126
1990,Stock2,5407
1991,Stock2,7426
1992,Stock2,9921
1993,Stock2,13594
1994,Stock2,17250
1995,Stock2,18981
1996,Stock2,27883
1997,Stock2,22679
1998,Stock2,5620
1999,Stock2,12142
2000,Stock2,16400
2001,Stock2,18970
2002,Stock2,24996
2003,Stock2,29254
2004,Stock2,20856
2005,Stock2,9470
2006,Stock2,10200
2007,Stock2,2657
2008,Stock2,12196
2009,Stock2,2515
2010,Stock2,9889
2011,Stock2,5429
2012,Stock2,11649
2013,Stock2,7345
2014,Stock2,24964
2015,Stock2,11516
2016,Stock2,8937
1979,Stock3,17530
1980,Stock3,18972
1981,Stock3,14036
1982,Stock3,17424
1983,Stock3,28759
1984,Stock3,35196
1985,Stock3,51612
1986,Stock3,59552
1987,Stock3,60474
1988,Stock3,51606
1989,Stock3,36986
1990,Stock3,49919
1991,Stock3,33520
1992,Stock3,41516
1993,Stock3,42333
1994,Stock3,63036
1995,Stock3,50556
1996,Stock3,40057
1997,Stock3,39883
1998,Stock3,33941
1999,Stock3,22453
2000,Stock3,27638
2001,Stock3,32694
2002,Stock3,44652
2003,Stock3,54018
2004,Stock3,35532
2005,Stock3,23611
2006,Stock3,23993
2007,Stock3,13100
2008,Stock3,18450
2009,Stock3,29499
2010,Stock3,19980
2011,Stock3,13242
2012,Stock3,12990
2013,Stock3,19577
2014,Stock3,39418
2015,Stock3,26986
2016,Stock3,15773
