StockID,Ricker_B,TauR,Ricker_A
CRsu,2.69E-05,15.05904463,13.4159921
FRL.N,4.34E-06,1.590925506,1.454633104
FRsp4.2,8.33E-05,3.644432808,3.728417228
FRsp5.2,4.32E-05,18.52674371,2.63426588
FRsu4.1,6.20E-06,6.107880538,3.874268293
FRsu5.2,2.36E-05,14.40257866,1.800979267
LSG.N,0.000109144,3.689414628,4.679303041
NBC,7.35E-06,10.57693321,0.81999067
OC.N,1.05E-05,4.367055524,9.330368912
CRf,1.20E-05,2.956998998,37.05791349
WC.N,3.10E-05,28.22564108,5.368256123
WCVI.N,5.09E-05,1.81666289,5.680204848
WCVI.H,NA,NA,NA
WC.H,NA,NA,NA
