"","parameters","MLE","MLE_Low","MLE_Upper","median","low","high"
"1","a_[2010]",0.653821240532747,-0.165134531908233,1.47277701297373,0.726223647533971,0.114507669252065,1.50578877690909
"2","a_[2011]",0.661128615502977,-0.170239120962712,1.49249635196867,0.768879357907976,0.13613685339552,1.58265683834161
"3","a_[2012]",0.473026882722852,-0.364817205941279,1.31087097138698,0.589217789664018,0.0660674934072171,1.35951658080591
"4","a_[2013]",0.415562677959661,-0.498553042439336,1.32967839835866,0.548077874500217,0.0408053416353993,1.391266269324
"5","a_[AVG]",0.550884854179559,-0.141688489561499,1.24345819792062,0.657954089621892,0.243576734062338,1.29062657231833
"6","alpha[AVG]",1.73478737278456,0.533319881335391,2.93625486423372,1.93083796920333,1.27580421172463,3.63506347249905
"7","b",5.98245095005323e-06,1.16517052431968e-06,1.07997313757868e-05,6.25761401280021e-06,2.74757349182509e-06,1.069668138999e-05
"8","Smax",167155.570241843,32556.0117496509,301755.128734034,159805.318454168,93486.938949216,363957.507663813
"9","rho",0.666336513829931,0.239457747677519,1.09321527998234,0.670905224019704,0.333764183467457,0.914780955934032
"10","sigma[Total]",0.716168823108909,0.532798975079944,0.899538671137874,0.74043945438511,0.583519033310223,0.979358521273922
